ID;Sex;Age;State;Account length;Phone number;Plans;Number vmail messages;Total day minutes;Total day calls;Total day charge;Total eve minutes;Total eve calls;Total eve charge;Total night minutes;Total night calls;Total night charge;Total intl minutes;Total intl calls;Total intl charge;Total charge;Customer service calls;Churn
35311;Female;48.0;ID;160;415 560 68 74;None;0;85.8;77.0;14.59;165.3;110.0;14.05;178.5;92.0;8.03;9.2;4.0;2.48;39.15;3;False
20866;Female;34.0;WI;64;510 460 37 45;None;0;154.0;67.0;26.18;225.8;118.0;19.19;265.3;86.0;11.94;3.5;3.0;0.95;58.26;1;False
13152;Male;33.0;OR;59;408 129 38 20;Voice mail;28;120.9;97.0;20.55;213.0;92.0;18.11;163.1;116.0;7.34;8.5;5.0;2.3;48.3;2;False
76189;Male;33.0;MI;65;415 582 55 93;None;0;211.3;120.0;35.92;162.6;122.0;13.82;134.7;118.0;6.06;13.2;5.0;3.56;59.36;3;False
56858;Male;;DE;142;408 590 81 80;None;0;187.0;133.0;31.79;134.6;74.0;11.44;242.2;127.0;10.9;7.4;5.0;2.0;56.13;2;False
84252;Female;;ID;119;415 933 35 94;None;0;159.1;114.0;27.05;231.3;117.0;19.66;143.2;91.0;6.44;8.8;3.0;2.38;55.53;5;True
90756;Female;33.0;WY;97;415 659 59 64;Voice mail;24;133.2;135.0;22.64;217.2;58.0;18.46;70.6;79.0;3.18;11.0;3.0;2.97;47.25;1;False
80271;Male;25.0;IA;52;408 138 17 45;None;0;191.9;108.0;32.62;269.8;96.0;22.93;236.8;87.0;10.66;7.8;5.0;2.11;68.32;3;False
46105;Female;35.0;IN;60;408 833 64 11;None;0;220.6;57.0;37.5;211.1;115.0;17.94;249.0;129.0;11.21;6.8;3.0;1.84;68.49;1;False
97000;Male;42.0;VA;10;408 456 80 92;None;0;186.1;112.0;31.64;190.2;66.0;16.17;282.8;57.0;12.73;11.4;6.0;3.08;63.62;2;False
99788;Male;24.0;UT;96;415 341 97 91;None;0;160.2;117.0;27.23;267.5;67.0;22.74;228.5;68.0;10.28;9.3;5.0;2.51;62.76;2;False
98254;Female;29.0;WY;87;415 530 81 80;None;0;151.0;83.0;25.67;219.7;116.0;18.67;203.9;127.0;9.18;9.7;3.0;2.62;56.14;5;True
62909;Male;34.0;IN;81;408 801 59 46;None;0;175.5;67.0;29.84;249.3;85.0;21.19;270.2;98.0;12.16;10.2;3.0;2.75;65.94;1;False
29316;Male;;CO;141;415 925 17 26;None;0;126.9;98.0;21.57;180.0;62.0;15.3;140.8;128.0;6.34;8.0;2.0;2.16;45.37;1;False
77953;Female;38.0;CO;121;408 571 94 81;Voice mail;30;198.4;129.0;33.73;75.3;77.0;6.4;181.2;77.0;8.15;5.8;3.0;1.57;49.85;3;True
59601;Female;;WI;68;415 902 32 84;None;0;148.8;70.0;25.3;246.5;164.0;20.95;129.8;103.0;5.84;12.1;3.0;3.27;55.36;3;False
21337;Male;;OK;125;408 513 32 32;None;0;229.3;103.0;38.98;177.4;126.0;15.08;189.3;95.0;8.52;12.0;8.0;3.24;65.82;1;False
58584;Male;34.0;ID;174;408 212 85 59;None;0;192.1;97.0;32.66;169.9;94.0;14.44;166.6;54.0;7.5;11.4;4.0;3.08;57.68;1;False
43199;Male;31.0;CA;116;415 651 69 31;Voice mail;34;268.6;83.0;45.66;178.2;142.0;15.15;166.3;106.0;7.48;11.6;3.0;3.13;71.42;2;False
74599;Male;40.0;MN;74;510 701 63 58;Voice mail;33;193.7;91.0;32.93;246.1;96.0;20.92;138.0;92.0;6.21;14.6;3.0;3.94;64.0;2;False
66137;Male;43.0;SD;149;408 319 73 76;Voice mail;28;180.7;92.0;30.72;187.8;64.0;15.96;265.5;53.0;11.95;12.6;3.0;3.4;62.03;3;False
52412;Female;;NC;38;408 614 72 91;None;0;131.2;98.0;22.3;162.9;97.0;13.85;159.0;106.0;7.15;8.2;6.0;2.21;45.51;2;False
94692;Male;46.0;WA;40;415 927 39 95;Voice mail;41;148.1;74.0;25.18;169.5;88.0;14.41;214.1;102.0;9.63;6.2;5.0;1.67;50.89;2;False
75417;Male;;WY;43;415 526 34 22;International;0;251.5;105.0;42.76;212.8;104.0;18.09;157.8;67.0;7.1;9.3;4.0;2.51;70.46;0;False
30327;Male;;MN;113;408 719 90 79;International;0;125.2;93.0;21.28;206.4;119.0;17.54;129.3;139.0;5.82;8.3;8.0;2.24;46.88;0;False
70461;Female;40.0;UT;126;408 886 37 94;None;0;211.6;70.0;35.97;216.9;80.0;18.44;153.5;60.0;6.91;7.8;1.0;2.11;63.43;1;False
97155;Female;25.0;TX;150;510 627 26 66;None;0;178.9;101.0;30.41;169.1;110.0;14.37;148.6;100.0;6.69;13.8;3.0;3.73;55.2;4;True
62441;Female;33.0;NJ;138;408 754 43 21;None;0;241.8;93.0;41.11;170.5;83.0;14.49;295.3;104.0;13.29;11.8;7.0;3.19;72.08;3;False
32055;Female;30.0;MN;162;510 471 65 70;Voice mail;46;224.9;97.0;38.23;188.2;84.0;16.0;254.6;61.0;11.46;12.1;2.0;3.27;68.96;o;False
73533;Female;28.0;NM;147;510 249 98 57;None;0;248.6;83.0;42.26;148.9;85.0;12.66;172.5;109.0;7.76;8.0;4.0;2.16;64.84;3;False
37437;Male;28.0;NV;90;415 318 77 55;None;0;203.4;146.0;34.58;226.7;117.0;19.27;152.4;105.0;6.86;7.3;4.0;1.97;62.68;1;False
50949;Female;20.0;HI;85;415 892 37 17;None;0;235.8;109.0;40.09;157.2;94.0;13.36;188.2;99.0;8.47;12.0;3.0;3.24;65.16;0;False
43302;Male;;MN;50;415 596 31 83;None;0;157.1;90.0;26.71;223.3;72.0;18.98;181.4;111.0;8.16;6.1;2.0;1.65;55.5;1;False
93677;Male;43.0;DC;82;415 466 51 75;None;0;300.3;109.0;51.05;181.0;100.0;15.39;270.1;73.0;12.15;11.7;4.0;3.16;81.75;0;True
10243;Female;;NY;144;408 408 26 19;None;0;61.6;117.0;10.47;77.1;85.0;6.55;173.0;99.0;7.79;8.2;7.0;2.21;27.02;4;True
29657;Female;;MN;46;415 941 68 74;None;0;214.1;72.0;36.4;164.4;104.0;13.97;177.5;113.0;7.99;8.2;3.0;2.21;60.57;2;False
52206;Female;52.0;MD;70;408 221 92 80;None;0;170.2;98.0;28.93;155.2;102.0;13.19;228.6;76.0;10.29;15.0;2.0;4.05;56.46;1;False
11405;Female;;WV;144;415 836 49 39;None;0;201.1;99.0;34.19;303.5;74.0;25.8;224.0;119.0;10.08;13.2;2.0;3.56;73.63;1;False
43577;Male;24.0;OR;116;415 728 57 36;International;0;215.4;104.0;36.62;204.8;79.0;17.41;278.5;109.0;12.53;12.6;5.0;3.4;69.96;3;False
75499;Male;;CO;55;408 184 73 53;Voice mail;25;165.6;123.0;28.15;136.1;95.0;11.57;175.7;90.0;7.91;11.0;2.0;2.97;50.6;3;False
93263;Female;28.0;GA;70;415 956 75 61;Voice mail;24;249.5;101.0;42.42;259.7;98.0;22.07;222.7;68.0;10.02;9.8;4.0;2.65;77.16;1;False
14411;Male;32.0;TX;106;510 714 37 56;None;0;210.6;96.0;35.8;249.2;85.0;21.18;191.4;88.0;8.61;12.4;1.0;3.35;68.94;2;True
86477;Female;31.0;VT;128;510 474 43 86;Voice mail;29;179.3;104.0;30.48;225.9;86.0;19.2;323.0;78.0;14.54;8.6;7.0;2.32;66.54;0;False
85748;Male;;IN;94;408 948 39 17;;0;157.9;105.0;26.84;155.0;101.0;13.18;189.6;84.0;8.53;8.0;5.0;2.16;50.71;4;True
10873;Female;;WV;111;510 449 40 81;None;0;214.3;118.0;36.43;208.5;76.0;17.72;182.4;98.0;8.21;12.0;2.0;3.24;65.6;1;False
93173;Male;36.0;KY;74;415 140 67 33;Voice mail;35;154.1;104.0;26.2;123.4;84.0;10.49;202.1;57.0;9.09;10.9;9.0;2.94;48.72;2;False
48961;Female;;NJ;128;415 402 50 84;None;0;237.9;125.0;40.44;247.6;93.0;21.05;208.9;68.0;9.4;13.9;4.0;3.75;74.64;1;True
22380;Male;;DC;82;510 701 50 98;None;0;143.9;61.0;24.46;194.9;105.0;16.57;109.6;94.0;4.93;11.1;2.0;3.0;48.96;1;False
84404;Male;;LA;155;415 481 89 22;;0;203.4;100.0;34.58;190.9;104.0;16.23;196.0;119.0;8.82;8.9;4.0;2.4;62.03;0;True
92328;Male;37.0;AR;80;415 213 50 52;None;0;124.3;100.0;21.13;173.0;107.0;14.71;253.2;62.0;11.39;7.9;9.0;2.13;49.36;1;False
88257;Male;32.0;ME;78;415 686 45 54;None;0;252.9;93.0;42.99;178.4;112.0;15.16;263.9;105.0;11.88;9.5;7.0;2.57;72.6;3;False
30644;Female;30.0;AZ;90;415 513 49 43;None;0;179.1;71.0;30.45;190.6;81.0;16.2;127.7;91.0;5.75;10.6;7.0;2.86;55.26;3;False
30972;Female;;AK;104;408 629 66 93;None;0;278.4;106.0;47.33;81.0;113.0;6.89;163.2;137.0;7.34;9.8;5.0;2.65;64.21;1;False
59383;Male;45.0;MT;73;415 643 24 49;None;0;160.1;110.0;27.22;213.3;72.0;18.13;174.1;72.0;7.83;13.0;4.0;3.51;56.69;0;False
79561;Female;51.0;AZ;99;415 632 61 90;None;0;198.2;87.0;33.69;207.3;76.0;17.62;190.9;113.0;8.59;8.7;3.0;2.35;62.25;4;False
80255;Female;;MS;120;408 778 82 33;None;0;212.1;131.0;36.06;209.4;104.0;17.8;167.2;96.0;7.52;5.3;5.0;1.43;62.81;1;True
56944;Male;49.0;ID;77;415 270 69 10;None;0;251.8;72.0;42.81;205.7;126.0;17.48;275.2;109.0;12.38;9.8;7.0;2.65;75.32;2;True
34241;Female;;IA;98;510 137 35 50;Voice mail;21;161.2;114.0;27.4;252.2;83.0;21.44;160.2;92.0;7.21;4.4;8.0;1.19;57.24;4;False
15608;Female;39.0;MA;108;415 878 81 22;None;0;178.3;137.0;30.31;189.0;76.0;16.07;129.1;102.0;5.81;14.6;5.0;3.94;56.13;0;False
79501;Male;52.0;VT;135;415 101 16 25;None;0;151.7;82.0;25.79;119.0;105.0;10.12;180.0;100.0;8.1;10.5;6.0;2.84;46.85;0;False
62503;Male;24.0;KY;95;408 775 19 79;None;0;135.0;99.0;22.95;183.6;106.0;15.61;245.3;102.0;11.04;12.5;9.0;3.38;52.98;1;False
38981;Female;32.0;IN;122;408 375 33 68;None;0;170.5;94.0;28.99;173.7;109.0;14.76;248.6;75.0;11.19;11.3;2.0;3.05;57.99;1;False
40166;Male;28.0;AZ;95;408 761 79 10;None;0;238.1;65.0;40.48;187.2;98.0;15.91;190.0;115.0;8.55;11.8;4.0;3.19;68.13;4;False
21438;Female;36.0;MI;36;510 961 65 30;Voice mail;29;281.4;102.0;47.84;202.2;76.0;17.19;187.2;113.0;8.42;9.0;6.0;2.43;75.88;2;False
94543;Male;48.0;NM;93;510 321 93 31;Voice mail;21;117.9;131.0;20.04;164.5;115.0;13.98;217.0;86.0;9.76;9.8;3.0;2.65;46.43;1;False
41758;Female;26.0;CO;141;415 722 25 96;Voice mail;32;148.6;91.0;25.26;131.1;97.0;11.14;219.4;142.0;9.87;10.1;1.0;2.73;49.0;1;False
44210;Male;26.0;UT;157;408 286 70 83;None;0;229.8;90.0;39.07;147.9;121.0;12.57;241.4;108.0;10.86;9.6;7.0;2.59;65.09;3;False
32515;Female;38.0;MI;120;408 582 19 65;None;0;165.0;100.0;28.05;317.2;83.0;26.96;119.2;86.0;5.36;8.3;8.0;2.24;62.61;1;False
98867;Female;41.0;MA;103;415 708 23 17;None;0;185.0;117.0;31.45;223.3;94.0;18.98;222.8;91.0;10.03;12.6;2.0;3.4;63.86;2;False
70104;Male;35.0;AL;98;408 358 24 33;None;0;161.0;117.0;27.37;190.9;113.0;16.23;227.7;113.0;10.25;12.1;4.0;3.27;57.12;4;False
98705;Male;37.0;DE;125;408 930 14 22;None;0;126.7;108.0;21.54;206.0;90.0;17.51;247.8;114.0;11.15;13.3;7.0;3.59;53.79;1;False
73851;Female;;AZ;63;415 864 31 59;None;0;58.9;125.0;10.01;169.6;59.0;14.42;211.4;88.0;9.51;9.4;3.0;2.54;36.48;1;False
91474;Female;30.0;ME;36;510 375 93 90;International, Voice mail;42;196.8;89.0;33.46;254.9;122.0;21.67;138.3;126.0;6.22;20.0;6.0;5.4;66.75;0;True
41319;Male;32.0;NJ;64;510 397 18 59;None;0;162.6;83.0;27.64;152.3;109.0;12.95;57.5;122.0;2.59;14.2;3.0;3.83;47.01;1;False
17056;Male;;NV;74;415 111 31 37;None;0;282.5;114.0;48.03;219.9;48.0;18.69;170.0;115.0;7.65;9.4;4.0;2.54;76.91;1;True
35402;Male;39.0;MO;112;510 603 92 53;Voice mail;36;113.7;117.0;19.33;157.5;82.0;13.39;177.6;118.0;7.99;10.0;3.0;2.7;43.41;2;False
27619;Female;35.0;ID;97;408 673 20 68;None;0;239.8;125.0;40.77;214.8;111.0;18.26;143.3;81.0;6.45;8.7;5.0;2.35;67.83;2;False
44102;Female;42.0;NE;46;408 419 59 95;None;0;210.2;92.0;35.73;227.3;77.0;19.32;200.1;116.0;9.0;13.1;7.0;3.54;67.59;1;False
36295;Female;28.0;TX;41;408 256 27 89;Voice mail;22;213.8;102.0;36.35;141.8;86.0;12.05;142.2;123.0;6.4;7.2;3.0;1.94;56.74;0;False
59376;Female;37.0;MD;121;510 873 11 83;None;0;190.7;103.0;32.42;183.5;117.0;15.6;220.8;103.0;9.94;9.8;4.0;2.65;60.61;3;False
29716;Female;43.0;MS;193;415 132 86 87;None;0;170.9;124.0;29.05;132.3;95.0;11.25;112.9;89.0;5.08;11.6;3.0;3.13;48.51;1;False
20910;Female;40.0;NV;130;510 772 98 50;None;0;154.2;119.0;26.21;110.2;98.0;9.37;227.4;117.0;10.23;9.2;5.0;2.48;48.29;2;False
36844;Female;46.0;AZ;85;408 514 21 12;None;0;201.4;52.0;34.24;229.4;104.0;19.5;252.5;106.0;11.36;12.0;3.0;3.24;68.34;1;False
47294;Male;27.0;MS;162;415 933 33 12;None;0;70.7;108.0;12.02;157.5;87.0;13.39;154.8;82.0;6.97;9.1;3.0;2.46;34.84;4;True
85217;Male;53.0;MS;61;510 579 21 96;Voice mail;27;187.5;124.0;31.88;146.6;103.0;12.46;225.7;129.0;10.16;6.4;6.0;1.73;56.23;4;True
24791;Male;49.0;TX;92;408 540 47 66;None;0;91.7;90.0;15.59;193.7;123.0;16.46;175.0;86.0;7.88;9.2;4.0;2.48;42.41;2;False
98456;Female;40.0;NE;131;408 120 79 60;Voice mail;36;214.2;115.0;36.41;161.7;117.0;13.74;264.7;102.0;11.91;9.5;4.0;2.57;64.63;3;False
68242;Female;40.0;NE;90;415 884 16 27;None;0;145.5;92.0;24.74;217.7;114.0;18.5;146.9;123.0;6.61;10.9;2.0;2.94;52.79;3;False
91212;Female;36.0;CA;75;408 456 97 17;None;0;166.3;125.0;28.27;158.2;86.0;13.45;256.7;80.0;11.55;6.1;5.0;1.65;54.92;1;False
35716;Female;32.0;NJ;78;415 224 41 37;None;0;231.0;115.0;39.27;230.4;140.0;19.58;261.4;120.0;11.76;9.5;3.0;2.57;73.18;1;False
36227;Male;27.0;TX;82;408 298 24 93;None;0;200.3;96.0;34.05;201.2;102.0;17.1;206.1;60.0;9.27;7.1;1.0;1.92;62.34;4;False
82302;Male;40.0;AR;163;408 983 31 93;None;0;197.0;109.0;33.49;202.6;128.0;17.22;206.4;80.0;9.29;9.1;10.0;2.46;62.46;1;False
83613;Male;43.0;AL;91;510 150 23 27;International;0;129.9;112.0;22.08;173.3;83.0;14.73;247.2;130.0;11.12;11.2;3.0;3.02;50.95;3;False
20280;Female;;NY;75;415 181 38 19;Voice mail;21;175.8;97.0;29.89;217.5;106.0;18.49;237.5;134.0;10.69;5.3;4.0;1.43;60.5;5;False
67241;Male;31.0;FL;91;510 956 87 18;None;0;203.1;106.0;34.53;210.1;113.0;17.86;195.6;129.0;8.8;12.0;3.0;3.24;64.43;3;False
32305;Female;33.0;AK;127;510 251 87 74;Voice mail;36;183.2;117.0;31.14;126.8;76.0;10.78;263.3;71.0;11.85;11.2;8.0;3.02;56.79;1;False
78292;Female;;NV;113;415 825 83 94;Voice mail;23;205.0;101.0;34.85;152.0;60.0;12.92;158.6;59.0;7.14;10.2;5.0;2.75;57.66;2;False
39670;Female;;DE;110;510 113 29 48;None;0;148.5;115.0;25.25;276.4;84.0;23.49;193.6;112.0;8.71;12.4;3.0;3.35;60.8;1;False
54301;Male;;MD;120;415 633 60 64;Voice mail;39;200.3;68.0;34.05;220.4;97.0;18.73;253.8;116.0;11.42;10.5;4.0;2.84;67.04;0;False
12301;Female;;MI;157;415 683 51 23;Voice mail;28;192.6;107.0;32.74;195.5;74.0;16.62;109.7;139.0;4.94;6.8;5.0;1.84;56.14;3;False
85643;Female;33.0;VT;103;510 132 73 78;None;0;246.5;47.0;41.91;195.5;84.0;16.62;200.5;96.0;9.02;11.7;4.0;3.16;70.71;1;False
21507;Male;24.0;VT;117;408 547 45 74;International;0;167.1;86.0;28.41;177.5;87.0;15.09;249.4;132.0;11.22;14.1;7.0;3.81;58.53;2;True
62249;Female;28.0;MI;140;415 176 78 95;None;0;231.9;101.0;39.42;160.1;94.0;13.61;110.4;98.0;4.97;14.3;6.0;3.86;61.86;3;False
82389;Male;;WA;127;408 969 63 87;None;0;146.7;91.0;24.94;203.5;78.0;17.3;203.4;110.0;9.15;13.7;3.0;3.7;55.09;1;False
82676;Female;30.0;UT;83;408 786 36 92;International;0;271.5;87.0;46.16;216.3;126.0;18.39;121.1;105.0;5.45;11.7;4.0;3.16;73.16;1;False
51517;Female;39.0;LA;121;408 431 61 41;None;0;181.5;121.0;30.86;218.4;98.0;18.56;161.6;103.0;7.27;8.5;5.0;2.3;58.99;1;False
98905;Female;35.0;RI;145;408 216 11 69;Voice mail;43;257.7;97.0;43.81;162.1;95.0;13.78;286.9;86.0;12.91;11.1;4.0;3.0;73.5;2;False
32107;Male;29.0;IA;113;408 657 66 61;None;0;193.8;99.0;32.95;221.4;125.0;18.82;172.3;67.0;7.75;10.6;6.0;2.86;62.38;1;False
25050;Female;;NE;117;415 581 64 38;None;0;102.8;119.0;17.48;206.7;91.0;17.57;299.0;105.0;13.46;10.1;7.0;2.73;51.24;1;False
47081;Male;;OH;65;408 805 42 16;None;0;187.9;116.0;31.94;157.6;117.0;13.4;227.3;86.0;10.23;7.5;6.0;2.03;57.6;1;False
46381;Male;;RI;56;415 888 15 56;None;0;226.0;112.0;38.42;248.5;118.0;21.12;140.5;142.0;6.32;6.9;11.0;1.86;67.72;1;False
92664;Male;31.0;OK;96;415 771 19 55;None;0;260.4;115.0;44.27;146.0;46.0;12.41;269.5;87.0;12.13;11.5;4.0;3.11;71.92;5;False
21386;Female;;LA;151;408 427 84 84;None;0;178.7;116.0;30.38;292.1;138.0;24.83;265.9;101.0;11.97;9.8;4.0;2.65;69.83;0;False
66403;Male;29.0;OH;83;415 584 43 79;None;0;506.1;180.0;86.04;341.1;174.0;28.99;230.85;171.0;10.4;23.7;10.5;6.4;1.3183 hundred;0;True
10449;Male;29.0;VA;139;510 315 90 98;Voice mail;23;157.6;129.0;26.79;247.0;96.0;21.0;259.2;112.0;11.66;13.7;2.0;3.7;63.15;0;False
60100;Male;36.0;MO;6;510 549 22 46;None;0;183.6;117.0;31.21;256.7;72.0;21.82;178.6;79.0;8.04;10.2;2.0;2.75;63.82;1;False
58215;Female;;FL;115;510 774 12 62;Voice mail;24;142.1;124.0;24.16;183.4;129.0;15.59;164.8;114.0;7.42;9.6;4.0;2.59;49.76;1;False
83982;Male;36.0;SC;87;415 386 65 29;None;0;136.3;97.0;23.17;172.2;108.0;14.64;137.5;101.0;6.19;7.1;5.0;1.92;45.92;0;False
33322;Male;20.0;VA;141;415 557 23 76;None;0;217.1;110.0;36.91;241.5;111.0;20.53;253.5;103.0;11.41;12.0;6.0;3.24;72.09;0;False
59426;Male;28.0;IA;141;510 175 41 33;Voice mail;36;187.5;99.0;31.88;241.4;116.0;20.52;229.5;105.0;10.33;10.5;5.0;2.84;65.57;3;False
20804;Male;;MI;62;415 336 12 25;None;0;98.9;103.0;16.81;135.4;122.0;11.51;236.6;82.0;10.65;12.2;1.0;3.29;42.26;1;False
